time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-05-03 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-03 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,511.1600036621094,10,0.0
