2024-06-03 15:16:12,843: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-06-03 15:16:14,089: root: INFO: Current backtesting datetime 2024-05-03 08:30:00-04:00
2024-06-03 15:16:14,091: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-06-03 15:16:14,092: root: INFO: Current backtesting datetime 2024-05-03 09:30:00-04:00
2024-06-03 15:16:14,092: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-06-03 15:16:14,094: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-06-03 15:16:14[0m
2024-06-03 15:16:14,094: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,100: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,316: root: INFO: [32mNew market order of | 10 SPY buy | at price $613.3920043945312 of class bracket with status unprocessed was submitted.[0m
2024-06-03 15:16:14,319: root: INFO: [34mMLTrader : Trading iteration ended at 2024-06-03 15:16:14[0m
2024-06-03 15:16:14,319: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,319: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,320: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,321: root: INFO: market order of | 10 SPY buy | at price $613.3920043945312 of class bracket with status new was sent to broker backtesting
2024-06-03 15:16:14,321: root: INFO: market order of | 10 SPY buy | at price $613.3920043945312 of class bracket with status new was sent to broker backtesting
2024-06-03 15:16:14,321: root: INFO: [32mFilled Transaction: buy 10 of SPY at 511.16000366 USD per share[0m
2024-06-03 15:16:14,321: root: INFO: market order of | 10 SPY buy | at price $613.3920043945312 of class bracket with status new was filled
2024-06-03 15:16:14,326: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-06-03 15:16:14,327: root: INFO: Current backtesting datetime 2024-05-03 16:00:00-04:00
2024-06-03 15:16:14,327: root: INFO: Current backtesting datetime 2024-05-04 09:30:00-04:00
2024-06-03 15:16:14,329: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-06-03 15:16:14,329: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,329: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,330: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,331: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,331: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,332: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,334: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,334: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,335: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,335: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,336: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,336: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,338: root: INFO: Current backtesting datetime 2024-05-04 09:29:00-04:00
2024-06-03 15:16:14,339: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,339: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,340: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,340: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,340: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,341: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,342: root: INFO: Current backtesting datetime 2024-05-04 09:29:00-04:00
2024-06-03 15:16:14,343: root: INFO: MLTrader : Executing the after_market_closes lifecycle method
2024-06-03 15:16:14,343: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,343: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,344: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,345: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,345: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,346: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,347: root: INFO: Current backtesting datetime 2024-05-06 08:30:00-04:00
2024-06-03 15:16:14,348: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,349: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,350: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-06-03 15:16:14,350: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,350: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,351: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,352: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-06-03 15:16:14,352: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,353: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-03 15:16:14,354: root: INFO: Current backtesting datetime 2024-05-06 09:30:00-04:00
