datetime,portfolio_value,cash,return
2024-05-03 09:30:00-04:00,100000.0,100000.0,
2024-05-04 09:30:00-04:00,100000.0,94888.3999633789,0.0
2024-05-06 09:30:00-04:00,100025.8999633789,94888.3999633789,0.0002589996337891698
2024-05-07 09:30:00-04:00,100063.99993896484,94888.3999633789,0.0003809011026132403
2024-05-08 09:30:00-04:00,100041.00006103516,94888.3999633789,-0.00022985167436562204
2024-05-09 09:30:00-04:00,100062.20001220703,94888.3999633789,0.00021191262741226957
2024-05-10 09:30:00-04:00,100106.49993896484,94888.3999633789,0.0004427238932624977
2024-05-11 09:30:00-04:00,100106.49993896484,94888.3999633789,0.0
2024-05-13 09:30:00-04:00,100113.99993896484,94888.3999633789,7.492021002208915e-05
2024-05-14 09:30:00-04:00,100099.49981689453,94888.3999633789,-0.0001448361076288318
2024-05-15 09:30:00-04:00,100146.70013427734,94888.3999633789,0.0004715339983631939
2024-05-16 09:30:00-04:00,100187.20001220703,94888.3999633789,0.00040440551586207185
2024-05-17 09:30:00-04:00,100176.49993896484,94888.3999633789,-0.00010680080130875957
2024-05-18 09:30:00-04:00,100176.49993896484,94888.3999633789,0.0
2024-05-20 09:30:00-04:00,100184.1000366211,94888.3999633789,7.586707122819725e-05
2024-05-21 09:30:00-04:00,100181.20025634766,94888.3999633789,-2.8944515870099607e-05
2024-05-22 09:30:00-04:00,100194.90020751953,94888.3999633789,0.00013675171725657798
